1	65	82	80
2	78	48	90
3	37	45	90
4	75	87	90
5	55	15	90
6	54	60	80
7	55	19	100
8	63	32	100
9	95	65	100
10	87	48	80
11	46	14	80
12	59	43	80
13	67	61	80
14	91	100	80
15	58	30	90
16	57	45	80
17	58	19	90
18	74	45	100
19	75	37	100
20	74	10	100
21	66	26	90
22	47	2	90
23	67	14	90
24	79	65	100
25	64	43	90
26	70	23	100
27	67	49	100
28	56	21	100
29	62	54	100
30	52	62	90
31	68	69	90
32	48	34	90
33	98	91	80
34	51	14	80
35	13	4	80
36	74	8	80
37	63	68	100
38	52	43	80
39	99	88	100
40	24	0	90
